student_id,first,last,gender,class,major,gpa
5a397209-3782-4764-a285-10fae807ee71,Janis,Brown,Female,Junior,Economics,3.12
e26c3d69-3c74-49b6-81d7-47232787fad9,Timothy,Bishop,Male,Sophomore,Economics,3.48
975c1581-5ba2-430c-a3d1-01ce03bd83f9,Elizabeth,Owens,Female,Freshman,Finance,3.4
6081f91d-365c-46ce-ad1b-38af120781d9,Edward,Pearson,Male,Freshman,Math,3.84
84cec8f4-0b64-44ce-a628-c0eb73f6ca6f,Lisa,Gonzalez,Female,Junior,Finance,4.0
6c849c3e-e640-4bba-a86a-4323fd513b90,Alphonse,Allen,Male,Freshman,Engineering,2.99
a5c87c39-447c-4c29-92af-fa702a8d5595,Linwood,Coleman,Male,Freshman,Engineering,3.58
f6b177e8-e00a-480e-b62e-906c2ad80f85,Arthur,Mccolpin,Male,Junior,Math,3.04
8387594f-c9b2-4daa-ae93-c3e40f58cb26,Daniel,Carter,Male,Junior,Chemistry,2.41
156aefe7-73b4-4777-929c-7aa9c0cd35c5,Barry,Reyes,Male,Junior,Finance,3.0
8dd7650e-55e0-416e-9f7e-44ead1dc08a2,Maryellen,Pack,Female,Junior,Finance,3.83
5f0068d2-7aa8-4b43-8c9d-69c755cbbb9f,Jacob,Davis,Male,Junior,Finance,3.17
1846c044-9a87-49e4-ad4f-d1bfadb4e41b,Lisa,Walden,Female,Senior,Economics,3.4
21cdf664-d905-44ae-a480-81b687aefa67,Ida,Garcia,Female,Freshman,Chemistry,3.54
15714049-2a88-4dbc-8d1a-dde0095a3acf,Lola,Bailey,Female,Senior,Physics,3.28
35de9214-505e-4d55-80e6-0302098a44b6,Joan,Decoteau,Female,Senior,Economics,3.81
75c65f84-324a-4997-a856-bc5c51dc5ed0,Larry,Rogers,Male,Freshman,Engineering,3.08
4cb6a2fb-7f67-45ca-abc6-7252aa99d9f0,Bridgette,Vitucci,Female,Sophomore,Chemistry,3.1
abfe23e2-fe76-42a4-b8ae-1bd24b7ed1bf,James,Bertolini,Male,Junior,Physics,3.53
